property_segment_code,property_segment,cycle_stage,market_softness_score,market_softness_band,market_softness_level,region_risk_score,region_risk_band,approvals_change_pct,commencements_signal,completions_signal,pd_multiplier,source_note,as_of_date
RES,Residential,neutral,2.5,normal,Medium,2.87,Medium,,Residential placeholder (no signal),Residential placeholder (no signal),1.0,Residential placeholder — ABS Cat. 8752.0 residential dwelling-approvals file not yet staged; RES row uses a neutral composite pending that upgrade.,2026-06-16
CRE,"Commercial (office, health, education, accommodation)",slowing,3.06,softening,Moderate-high,3.21,Elevated,92.93,Proxy from approvals trend,Proxy from approvals trend,1.1,"Aggregated from ABS Cat. 8731.0 non-residential building approvals. Exposure-weighted (12-month mean approval $ per building type). Constituent ABS categories: Aged care facilities, Education buildings, Health buildings, Offices, Short term accommodation buildings",2026-06-16
IND,Industrial / Warehouse,neutral,2.23,normal,Medium,2.56,Medium,68.52,Proxy from approvals trend,Proxy from approvals trend,1.0,"Aggregated from ABS Cat. 8731.0 non-residential building approvals. Exposure-weighted (12-month mean approval $ per building type). Constituent ABS categories: Agricultural and aquacultural buildings, Warehouses",2026-06-16
RET,Retail Property,slowing,3.15,softening,Moderate-high,3.14,Elevated,68.47,Proxy from approvals trend,Proxy from approvals trend,1.1,Aggregated from ABS Cat. 8731.0 non-residential building approvals. Exposure-weighted (12-month mean approval $ per building type). Constituent ABS categories: Retail and wholesale trade buildings,2026-06-16
CON,Construction (non-residential development),slowing,2.92,softening,Moderate-high,3.08,Elevated,84.79,Proxy from approvals trend,Proxy from approvals trend,1.1,"Aggregated from ABS Cat. 8731.0 non-residential building approvals. Exposure-weighted (12-month mean approval $ per building type). Constituent ABS categories: Aged care facilities, Agricultural and aquacultural buildings, Education buildings, Health buildings, Offices, Retail and wholesale trade buildings, Short term accommodation buildings, Warehouses",2026-06-16
