borrower_name,industry,risk_level,final_industry_risk_score,max_lvr_pct,review_frequency,approval_authority,additional_conditions
Health Care & Social Assistance Archetype,Health Care and Social Assistance,Medium,2.97,75,Annual,Standard delegated authority,Industry section in credit memo required
"Professional, Scientific And Technical Services Archetype","Professional, Scientific And Technical Services",Medium,2.83,75,Annual,Standard delegated authority,Industry section in credit memo required
"Agriculture, Forestry And Fishing Archetype","Agriculture, Forestry And Fishing",Medium,2.8,75,Annual,Standard delegated authority,Industry section in credit memo required
Manufacturing Archetype,Manufacturing,Medium,2.8,75,Annual,Standard delegated authority,Industry section in credit memo required
Retail Trade Archetype,Retail Trade,Medium,2.71,75,Annual,Standard delegated authority,Industry section in credit memo required
Wholesale Trade Archetype,Wholesale Trade,Medium,2.56,75,Annual,Standard delegated authority,Industry section in credit memo required
Accommodation And Food Services Archetype,Accommodation And Food Services,Medium,2.47,75,Annual,Standard delegated authority,Industry section in credit memo required
Construction Archetype,Construction,Medium,2.36,75,Annual,Standard delegated authority,Industry section in credit memo required
"Transport, Postal And Warehousing Archetype","Transport, Postal And Warehousing",Medium,2.09,75,Annual,Standard delegated authority,Industry section in credit memo required
